auc,threshold,sensitivity,specificity,ppv,npv,f1,tp,fp,tn,fn,n_patients,prob_range,checkpoint
0.430623973727422,0.5271148681640625,0.14285714285714285,0.9310344827586207,0.6,0.6,0.23076923076923078,6,4,54,36,100,"(0.21155722439289093, 0.6314554810523987)",v2_epoch_1
0.5311986863711002,0.45391711592674255,0.35714285714285715,0.8448275862068966,0.625,0.6447368421052632,0.45454545454545453,15,9,49,27,100,"(0.20970913767814636, 0.5864092111587524)",v2_epoch_2
0.6420361247947455,0.3315277695655823,0.7380952380952381,0.5517241379310345,0.543859649122807,0.7441860465116279,0.6262626262626263,31,26,32,11,100,"(0.1627572923898697, 0.5246933698654175)",v2_epoch_3
0.4893267651888342,0.3238692283630371,0.8095238095238095,0.27586206896551724,0.4473684210526316,0.6666666666666666,0.576271186440678,34,42,16,8,100,"(0.19975651800632477, 0.5402270555496216)",v2_epoch_4
0.486863711001642,0.29048845171928406,0.9523809523809523,0.15517241379310345,0.449438202247191,0.8181818181818182,0.6106870229007634,40,49,9,2,100,"(0.23556168377399445, 0.5829958319664001)",v2_epoch_5
0.49384236453201974,0.3355550169944763,0.8571428571428571,0.27586206896551724,0.46153846153846156,0.7272727272727273,0.6,36,42,16,6,100,"(0.18384455144405365, 0.5371692776679993)",v2_epoch_6
0.4610016420361248,0.2577008903026581,0.9761904761904762,0.10344827586206896,0.44086021505376344,0.8571428571428571,0.6074074074074074,41,52,6,1,100,"(0.21460136771202087, 0.5111929178237915)",v2_epoch_7
0.5069786535303776,0.4132988154888153,0.3333333333333333,0.7758620689655172,0.5185185185185185,0.6164383561643836,0.4057971014492754,14,13,45,28,100,"(0.19700337946414948, 0.5078966617584229)",v2_epoch_8
0.5069786535303776,0.4132988154888153,0.3333333333333333,0.7758620689655172,0.5185185185185185,0.6164383561643836,0.4057971014492754,14,13,45,28,100,"(0.19700337946414948, 0.5078966617584229)",v2_latest
0.49794745484400654,0.3653233051300049,0.4523809523809524,0.6551724137931034,0.48717948717948717,0.6229508196721312,0.4691358024691358,19,20,38,23,100,"(0.16150224208831787, 0.5467996597290039)",v3_epoch_1
0.5057471264367817,0.3074073791503906,0.6904761904761905,0.43103448275862066,0.46774193548387094,0.6578947368421053,0.5576923076923077,29,33,25,13,100,"(0.16703595221042633, 0.4732012450695038)",v3_epoch_2
0.5348932676518884,0.3099108040332794,0.9047619047619048,0.3448275862068966,0.5,0.8333333333333334,0.6440677966101694,38,38,20,4,100,"(0.2149868756532669, 0.5086737871170044)",v3_epoch_3
0.4568965517241379,0.4611729681491852,0.07142857142857142,0.9827586206896551,0.75,0.59375,0.13043478260869565,3,1,57,39,100,"(0.2144036442041397, 0.5297285318374634)",v3_epoch_4
0.45073891625615764,0.27193698287010193,0.9761904761904762,0.10344827586206896,0.44086021505376344,0.8571428571428571,0.6074074074074074,41,52,6,1,100,"(0.19034098088741302, 0.5600476861000061)",v3_epoch_5
0.45073891625615764,0.27193698287010193,0.9761904761904762,0.10344827586206896,0.44086021505376344,0.8571428571428571,0.6074074074074074,41,52,6,1,100,"(0.19034098088741302, 0.5600476861000061)",v3_latest
